detector_id,event_id,engine,event_start_cycle,event_end_cycle,event_duration_endpoints,policy_id,onset_cycle,false_pre_onset_event,valid_post_onset_detection_event,crosses_onset
pca_reconstruction,engine_3_event_001,3,201,206,6,normalized_life_last_10pct_endpoint,186,False,True,False
pca_reconstruction,engine_4_event_001,4,208,235,28,normalized_life_last_10pct_endpoint,212,True,False,True
pca_reconstruction,engine_11_event_001,11,145,157,13,normalized_life_last_10pct_endpoint,244,True,False,False
pca_reconstruction,engine_11_event_002,11,246,271,26,normalized_life_last_10pct_endpoint,244,False,True,False
pca_reconstruction,engine_15_event_001,15,204,209,6,normalized_life_last_10pct_endpoint,189,False,True,False
pca_reconstruction,engine_28_event_001,28,171,200,30,normalized_life_last_10pct_endpoint,181,True,False,True
pca_reconstruction,engine_31_event_001,31,309,315,7,normalized_life_last_10pct_endpoint,309,False,True,False
pca_reconstruction,engine_31_event_002,31,324,343,20,normalized_life_last_10pct_endpoint,309,False,True,False
pca_reconstruction,engine_33_event_001,33,179,195,17,normalized_life_last_10pct_endpoint,176,False,True,False
pca_reconstruction,engine_34_event_001,34,199,205,7,normalized_life_last_10pct_endpoint,185,False,True,False
pca_reconstruction,engine_37_event_001,37,185,210,26,normalized_life_last_10pct_endpoint,190,True,False,True
pca_reconstruction,engine_38_event_001,38,175,177,3,normalized_life_last_10pct_endpoint,160,False,True,False
pca_reconstruction,engine_40_event_001,40,145,193,49,normalized_life_last_10pct_endpoint,174,True,False,True
pca_reconstruction,engine_43_event_001,43,158,211,54,normalized_life_last_10pct_endpoint,190,True,False,True
pca_reconstruction,engine_55_event_001,55,155,159,5,normalized_life_last_10pct_endpoint,144,False,True,False
pca_reconstruction,engine_56_event_001,56,152,163,12,normalized_life_last_10pct_endpoint,147,False,True,False
pca_reconstruction,engine_64_event_001,64,268,282,15,normalized_life_last_10pct_endpoint,254,False,True,False
pca_reconstruction,engine_79_event_001,79,176,181,6,normalized_life_last_10pct_endpoint,163,False,True,False
pca_reconstruction,engine_83_event_001,83,146,153,8,normalized_life_last_10pct_endpoint,154,True,False,False
pca_reconstruction,engine_83_event_002,83,169,170,2,normalized_life_last_10pct_endpoint,154,False,True,False
pca_reconstruction,engine_99_event_001,99,186,202,17,normalized_life_last_10pct_endpoint,182,False,True,False
pca_reconstruction,engine_107_event_001,107,131,145,15,normalized_life_last_10pct_endpoint,131,False,True,False
pca_reconstruction,engine_108_event_001,108,155,156,2,normalized_life_last_10pct_endpoint,141,False,True,False
pca_reconstruction,engine_111_event_001,111,179,200,22,normalized_life_last_10pct_endpoint,181,True,False,True
pca_reconstruction,engine_117_event_001,117,158,177,20,normalized_life_last_10pct_endpoint,160,True,False,True
pca_reconstruction,engine_124_event_001,124,230,267,38,normalized_life_last_10pct_endpoint,241,True,False,True
pca_reconstruction,engine_129_event_001,129,198,202,5,normalized_life_last_10pct_endpoint,182,False,True,False
pca_reconstruction,engine_132_event_001,132,179,183,5,normalized_life_last_10pct_endpoint,165,False,True,False
pca_reconstruction,engine_145_event_001,145,205,251,47,normalized_life_last_10pct_endpoint,226,True,False,True
pca_reconstruction,engine_150_event_001,150,190,222,33,normalized_life_last_10pct_endpoint,200,True,False,True
pca_reconstruction,engine_153_event_001,153,221,233,13,normalized_life_last_10pct_endpoint,263,True,False,False
