window_id,engine,start_cycle,end_cycle,max_cycle,op_mode,raw_score,alert_score,detector_id,pipeline_id,split,smoothed_score,threshold,threshold_violation,persistence_count,alert_active,state_segment_id
fd002-primary-v1:internal_held_out:e003:c0001-0030,3,1,30,206,4,0.11130513496784071,0.8010720667063729,pca_reconstruction,p1_k6,internal_held_out,0.8010720667063729,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0002-0031,3,2,31,206,4,0.11598930463621183,0.8221163390907286,pca_reconstruction,p1_k6,internal_held_out,0.8052809211832441,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0003-0032,3,3,32,206,1,0.08320255914286534,0.5590629342862815,pca_reconstruction,p1_k6,internal_held_out,0.7560373238038516,0.9908675799086758,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0004-0033,3,4,33,206,2,0.11375012698284556,0.8131824498709549,pca_reconstruction,p1_k6,internal_held_out,0.7674663490172723,0.9948381973396864,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0005-0034,3,5,34,206,5,0.10228979292620222,0.7387333730395076,pca_reconstruction,p1_k6,internal_held_out,0.7617197538217193,0.9932499503672821,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0006-0035,3,6,35,206,3,0.11899353022135538,0.8360135000992654,pca_reconstruction,p1_k6,internal_held_out,0.7765785030772285,0.9922572960095295,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0007-0036,3,7,36,206,4,0.1044712767059313,0.7540202501488982,pca_reconstruction,p1_k6,internal_held_out,0.7720668524915626,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0008-0037,3,8,37,206,5,0.12437259657016325,0.8548739328965654,pca_reconstruction,p1_k6,internal_held_out,0.7886282685725632,0.9932499503672821,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0009-0038,3,9,38,206,2,0.12377010293287703,0.8532856859241612,pca_reconstruction,p1_k6,internal_held_out,0.8015597520428828,0.9948381973396864,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0010-0039,3,10,39,206,4,0.13041317217384402,0.8757196744093707,pca_reconstruction,p1_k6,internal_held_out,0.8163917365161805,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0011-0040,3,11,40,206,5,0.11852928302028487,0.8346237839984118,pca_reconstruction,p1_k6,internal_held_out,0.8200381460126267,0.9932499503672821,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0012-0041,3,12,41,206,2,0.09745190436565906,0.699225729600953,pca_reconstruction,p1_k6,internal_held_out,0.795875662730292,0.9948381973396864,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0013-0042,3,13,42,206,1,0.1440352034195455,0.912050823903117,pca_reconstruction,p1_k6,internal_held_out,0.8191106949648571,0.9908675799086758,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0014-0043,3,14,43,206,1,0.12468984839115167,0.8572563033551718,pca_reconstruction,p1_k6,internal_held_out,0.8267398166429201,0.9908675799086758,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0015-0044,3,15,44,206,4,0.15414356512669,0.9326980345443716,pca_reconstruction,p1_k6,internal_held_out,0.8479314602232104,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0016-0045,3,16,45,206,4,0.19885450191457046,0.9759777645423864,pca_reconstruction,p1_k6,internal_held_out,0.8735407210870456,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0017-0046,3,17,46,206,5,0.24420091305128716,0.9922572960095295,pca_reconstruction,p1_k6,internal_held_out,0.8972840360715424,0.9932499503672821,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0018-0047,3,18,47,206,1,0.22341489796497854,0.9874925550923168,pca_reconstruction,p1_k6,internal_held_out,0.9153257398756973,0.9908675799086758,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0019-0048,3,19,48,206,0,0.18310046399405985,0.9644629739924558,pca_reconstruction,p1_k6,internal_held_out,0.9251531866990491,0.9974190986698431,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0020-0049,3,20,49,206,3,0.19169171359994433,0.9712130236251737,pca_reconstruction,p1_k6,internal_held_out,0.9343651540842741,0.9922572960095295,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0021-0050,3,21,50,206,4,0.25221995239729317,0.9930514194957316,pca_reconstruction,p1_k6,internal_held_out,0.9461024071665657,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0022-0051,3,22,51,206,5,0.22078414462318086,0.9868969624776652,pca_reconstruction,p1_k6,internal_held_out,0.9542613182287857,0.9932499503672821,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0023-0052,3,23,52,206,1,0.21033863191014943,0.9825292833035537,pca_reconstruction,p1_k6,internal_held_out,0.9599149112437393,0.9908675799086758,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0024-0053,3,24,53,206,4,0.20469579611296226,0.9797498511018463,pca_reconstruction,p1_k6,internal_held_out,0.9638818992153608,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0025-0054,3,25,54,206,1,0.22158192673153565,0.9870954933492158,pca_reconstruction,p1_k6,internal_held_out,0.9685246180421319,0.9908675799086758,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0026-0055,3,26,55,206,5,0.2841304148045129,0.996624975183641,pca_reconstruction,p1_k6,internal_held_out,0.9741446894704338,0.9932499503672821,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0027-0056,3,27,56,206,4,0.21881979363672377,0.9866984316061147,pca_reconstruction,p1_k6,internal_held_out,0.97665543789757,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0028-0057,3,28,57,206,1,0.27328808498224944,0.9956323208258884,pca_reconstruction,p1_k6,internal_held_out,0.9804508144832337,0.9908675799086758,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0029-0058,3,29,58,206,3,0.26127664684147106,0.9948381973396864,pca_reconstruction,p1_k6,internal_held_out,0.9833282910545242,0.9922572960095295,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0030-0059,3,30,59,206,5,0.21211463041396242,0.9835219376613064,pca_reconstruction,p1_k6,internal_held_out,0.9833670203758808,0.9932499503672821,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0031-0060,3,31,60,206,4,0.22627745632333374,0.9878896168354179,pca_reconstruction,p1_k6,internal_held_out,0.9842715396677882,0.996624975183641,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0032-0061,3,32,61,206,3,0.19033198191535755,0.9692277149096684,pca_reconstruction,p1_k6,internal_held_out,0.9812627747161643,0.9922572960095295,False,0,False,0
fd002-primary-v1:internal_held_out:e003:c0033-0062,3,33,62,206,5,0.1654170916285155,0.9477863807822117,pca_reconstruction,p1_k6,internal_held_out,0.9745674959293739,0.9932499503672821,False,0,False,0
