life_bin,sensor_2,sensor_3,sensor_4,sensor_7,sensor_11
0,-0.21100842498369857,-0.3683704707632386,-0.5182547127783526,0.1331843261386412,-0.5523410643343771
1,-0.21181796002440065,-0.3525574712967171,-0.4984303159164598,0.11750433459622042,-0.5099908240548692
2,-0.16000720752987108,-0.2885893134589184,-0.44160097267611675,0.13985222368556083,-0.4711005297499796
3,-0.1598493692536148,-0.2704115337497868,-0.37310734002862145,0.11273557398174539,-0.411411381462106
4,-0.12552010774255984,-0.2082969442407,-0.28733046457177663,0.07691901948865343,-0.29598896281185283
5,-0.06654205178247534,-0.11980969331968273,-0.17569308120063684,0.06002340613098951,-0.19210230670241762
6,0.01895728778547308,0.023651179624437992,0.030018805569016063,0.011975114413170578,0.01642962485374219
7,0.11954680337735744,0.19666269984869014,0.2767025438725549,-0.09023974169208397,0.3065630534467942
8,0.296824788128556,0.477919872032572,0.6737480988972349,-0.18664960460139848,0.7187769511764192
9,0.4878311946232666,0.8886270788918159,1.2833299260562718,-0.3664278640546613,1.35864828731881
