engine,cycle,op1,op2,op3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,op_mode
1,1,34.9983,0.84,100.0,1.2912663515292229,1.1210095849264698,-0.035248387281916385,1.0579406659489043,1.291266351529203,1.2909911002509071,1.2978429569110888,1.2152523492298115,0.14297294188804233,-0.17923895958221733,-0.22491740467235716,1.2921061500596633,-1.1852337019462436,-1.93767140257958,-0.26138473071604246,3.469446951953614e-18,0.8540513779448253,1.291266351529214,0.0,1.2389253707905212,1.2149491253626263,0
1,2,41.9982,0.8408,100.0,-0.7744335619182738,-0.697342054696305,-0.6910906068694359,-0.40208419520337985,-0.774433561918293,-0.7796743861195833,-0.7790670260728203,-0.8494834580884996,-1.5697699376501344,-0.17923895958221733,0.48844639984322785,-0.7798220710386182,-1.3763305192797284,-0.6136775056464068,0.4566154744044943,3.469446951953614e-18,-1.0628888737814355,-0.7744335619182826,0.0,-0.8598413484716776,-0.842741493875808,0
1,3,24.9988,0.6218,60.0,-1.1368683772161603e-13,1.268789648086517,-1.0955674373549793,-0.38626181265073556,8.881784197001252e-16,-1.866598532233063,0.6014259383471394,-1.2000002245034886,-1.0159398689485888,0.08945862426953607,-0.4883698132369615,-1.0398912001033627,-1.0598489995909146,-1.0725157526205658,-0.4211830751803523,3.469446951953614e-18,1.3126135480373733,0.0,-1.4210854715202004e-14,-1.6627257034186456,1.6962723752966327,2
1,4,42.0077,0.8416,100.0,-0.7744335619182738,-0.8281828553333618,-0.592531757543672,-0.3255763422172169,-0.774433561918293,-0.7796743861195833,-0.7809171151365859,-0.8476199781180397,-1.5697699376501344,-0.17923895958221733,-0.4627053395108949,-0.7680139694746079,-1.5355778670569082,-0.8166824670970061,-0.1076913960736181,3.469446951953614e-18,-1.5421239367130009,-0.7744335619182826,0.0,-0.7723927351690861,-0.6778411514067273,0
1,5,25.0005,0.6203,60.0,-1.1368683772161603e-13,0.5988469655813973,-0.9159154610289831,-0.31632059810487106,8.881784197001252e-16,0.5335558417906566,-0.8599126415630695,-1.2383554072819651,-1.5975370859813103,0.08945862426953607,0.4697583262646107,-0.7779633892174251,-1.1688262228587194,-1.3537396537028732,-0.37015677037918615,3.469446951953614e-18,1.3126135480373733,0.0,-1.4210854715202004e-14,-1.2143281885989703,-0.4806426770781729,2
1,6,25.0045,0.6205,60.0,-1.1368683772161603e-13,0.4592755733925794,0.7236452071250435,-0.20120901583147877,8.881784197001252e-16,0.5335558417906566,-0.594214717943083,-1.046579493388711,-1.3937295142005688,0.08945862426953607,-0.0572121504612438,-0.8943757496111475,-1.132500481769451,-0.763478498683992,-0.48844502241825505,3.469446951953614e-18,-1.0142922871198066,0.0,-1.4210854715202004e-14,0.13086435586002312,-0.020112283256383683,2
1,7,42.0043,0.8409,100.0,-0.7744335619182738,-0.7510203318807297,-1.393170311325849,-0.22229074068592725,-0.774433561918293,-0.7796743861195833,-0.771666669817755,-0.8401660582360309,-1.3987213075196716,-0.17923895958221733,0.4488150773701195,-0.7770668473403484,-1.2807821106122619,-0.4329807817178798,0.40844293668074205,3.469446951953614e-18,-1.0628888737814355,-0.7744335619182826,0.0,-0.7578179662853212,-0.716231506185875,0
1,8,20.002,0.7002,100.0,5.684341886080802e-14,-0.2300781895356614,-0.6267698345297003,-0.05612665655357603,1.7763568394002505e-15,-1.3460223956765704,-0.1747818924069873,-1.205867110988208,-1.2338392477620308,0.5303300858899107,-0.6920343951172201,0.4330969975980197,-1.269391040660724,-1.1440898753807283,0.14524376106716205,-0.5112737321154011,-0.22245646454294676,0.0,0.0,-0.9426123116023403,1.5250961922109798,3
1,9,41.9995,0.8407,100.0,-0.7744335619182738,-0.8885709171658348,-1.2982617897528879,-0.18913733772526534,-0.774433561918293,-0.7796743861195833,-0.7957178276467155,-0.8420295382064907,-1.1920187412934642,-0.17923895958221733,0.8847596245740865,-0.7581738848379329,-1.5037283975020517,-0.9773017772557138,0.6951842326554228,3.469446951953614e-18,-0.5836538108498703,-0.7744335619182826,0.0,-0.7238101722232021,-0.7506532377916503,0
1,10,42.0011,0.84,100.0,-0.7744335619182738,-0.8885709171658348,-0.3041558650719585,-0.2324917877507664,-0.774433561918293,-0.7796743861195833,-0.7720366876305089,-0.8513469380590442,-1.6442370193691676,-0.17923895958221733,-0.22491740467235716,-0.7766732439548818,-1.5037283975020517,-0.7915856998847192,0.8764047317113908,3.469446951953614e-18,-1.5421239367130009,-0.7744335619182826,0.0,-0.7821092477582627,-0.8280008935175698,0
1,11,42.0029,0.84,100.0,-0.7744335619182738,-0.7275360856125606,-0.7519294027495412,-0.3447033054637648,-0.774433561918293,-0.7796743861195833,-0.8049682729655464,-0.8457564981474951,-1.6934304248684253,-0.17923895958221733,-0.10602343725311646,-0.7802156744240849,-1.4400294583908901,-0.3827872472933058,0.6791267200808387,3.469446951953614e-18,-0.5836538108498703,-0.7744335619182826,0.0,-0.8112587855257936,-0.7836981001331947,0
1,12,0.0015,0.001,100.0,1.00131792878875,1.003044827975504,0.8865186563017654,0.8670813363341018,1.0013179287887546,1.0013845648580542,1.0080659131334566,1.0019819109938204,0.8195663946659595,1.0012959611008312,0.7889927227246087,0.9993811809145174,0.358033721016453,-1.077613478009879,-1.3894422254116916,-6.938893903907228e-18,0.9799771800359102,1.0013179287887606,0.0,1.0428780942838853,0.9929856922862548,1
1,13,20.0003,0.7,100.0,5.684341886080802e-14,0.2604436703760563,0.570665604804487,0.4172114382321691,1.7763568394002505e-15,-1.3460223956765704,1.3224895747832641,-1.205867110988208,-1.1586941755380085,0.5303300858899107,-0.028645303908139137,-0.24600080832499985,-0.8798075955180424,-1.1938958589549262,-0.872654265948824,-0.5112737321154011,-0.22245646454294676,0.0,0.0,-0.4297424976378087,0.5502399706653436,3
1,14,42.002,0.8407,100.0,-0.7744335619182738,-0.8416024246294583,-0.7555797305023443,-0.9860941396642819,-0.774433561918293,-0.7796743861195833,-0.7757368657580411,-0.8457564981474951,-1.1969832134080938,-0.17923895958221733,0.13176449758542128,-0.772737210100212,-1.2807821106122619,-0.721314751690275,0.7571203525859265,3.469446951953614e-18,-1.0628888737814355,-0.7744335619182826,0.0,-0.7238101722232021,-0.7969808389175411,0
1,15,10.0038,0.2513,100.0,-0.998683805861397,-1.0158464831609466,-0.9926768222333487,-1.0834322436598387,-0.9986838058613923,-0.999718813275726,-0.9877530032987655,-1.0011241462069054,-1.1365072236202258,-0.9984865379745647,-0.9566950407598379,-0.9911061353860885,0.1400185875544779,-1.2323180494615553,0.4727705102655415,-6.938893903907228e-18,-1.0458045625907493,-0.9986838058613866,0.0,-0.996246678701734,-0.995381920089276,1
1,16,35.0053,0.8419,100.0,1.2912663515292229,1.201527000703088,0.42712646140690597,-0.25289388188038664,1.291266351529203,1.2909911002509071,1.2904426006560243,1.2357506289053783,-0.09035724749831679,-0.17923895958221733,-1.334594433918829,1.2810852552665872,-1.057835823722472,-1.6376256079081613,-0.7866947849416109,3.469446951953614e-18,-0.10441874791830512,1.291266351529214,0.0,1.3506652655660552,1.3263135511460173,0
1,17,25.0077,0.6217,60.0,-1.1368683772161603e-13,-1.6901238663122327,-0.4696221303665487,0.42243348053578533,8.881784197001252e-16,-1.866598532233063,-0.5056487434030246,-1.1616450417250122,-0.7034822676123733,0.08945862426953607,-0.29674418533665387,-0.13769540705182742,-1.0598489995909146,-1.6411442998638361,-1.17498075974298,3.469446951953614e-18,-0.23865700873407988,0.0,-1.4210854715202004e-14,-1.7524052063825772,0.5025291176269436,2
1,18,34.9996,0.8404,100.0,1.2912663515292229,1.1646231851388222,0.760523062829884,0.8526445937693975,1.291266351529203,1.2909911002509071,1.265651407201558,1.2245697490822802,-0.09802961349361611,-0.17923895958221733,-0.3834426945647344,1.2787236349537852,-1.1852337019462436,-1.7051080264123402,-0.3577298061635062,3.469446951953614e-18,0.8540513779448253,1.291266351529214,0.0,1.3652400344498201,1.3449417823679661,0
1,19,42.0018,0.84,100.0,-0.7744335619182738,-0.9757981175905394,-1.1473815759702257,0.7506341231212091,-0.774433561918293,-0.7796743861195833,-0.7712966520050021,-0.8457564981474951,-1.7475883024822303,-0.17923895958221733,-0.22491740467235716,-0.7798220710386182,-1.4718789279457467,-0.7029104557345945,0.5116698032316223,3.469446951953614e-18,-0.10441874791830512,-0.7744335619182826,0.0,-0.8209752981149702,-0.7188232600950155,0
