k,op_mode,centroid_op1,centroid_op2,centroid_op3,within_std_op1,within_std_op2,within_std_op3
4,0,5.007396948065171,0.12562239809645198,100.00000000000037,5.000712263452846,0.1250047690961995,0.0
4,1,39.401382604969974,0.8404894134143719,99.99999999999885,3.3827141865099937,0.000642162696276208,0.0
4,2,25.003045278654046,0.6204953732912719,59.99999999999822,0.0028673975606701807,0.0006490206506135275,0.0
4,3,20.003025015467102,0.700518209940188,100.00000000000034,0.0028885804140409486,0.0006576049179759734,0.0
6,0,0.0015089478042007443,0.0004898922949663209,100.00000000000034,0.0008753829147765861,0.0006456127420966325,0.0
6,1,35.00303502410393,0.8404995598406967,100.00000000000034,0.0028625911882586563,0.0006490838190586923,0.0
6,2,25.003045278654046,0.6204953732912719,59.99999999999822,0.0028673975606701807,0.0006490206506135275,0.0
6,3,20.003025015467102,0.700518209940188,100.00000000000034,0.0028885804140409486,0.0006576049179759734,0.0
6,4,10.00293792889623,0.25049625878461085,100.00000000000034,0.002864994859536681,0.0006399931343939922,0.0
6,5,42.002983932556376,0.840483411852212,100.00000000000036,0.002908813306127403,0.0006379575977928315,0.0
8,0,20.003205558987027,0.7013676961087064,100.00000000000024,0.0028598771047593096,0.0003652975122595851,0.0
8,1,0.0015089478042007443,0.0004898922949663209,100.00000000000034,0.0008753829147765861,0.0006456127420966325,0.0
8,2,25.003045278654046,0.6204953732912719,59.99999999999822,0.0028673975606701807,0.0006490206506135275,0.0
8,3,42.00295057915059,0.8400795182937956,100.00000000000034,0.002898381783953373,0.0001669945320430321,0.0
8,4,10.00293792889623,0.25049625878461085,100.00000000000034,0.002864994859536681,0.0006399931343939922,0.0
8,5,35.00303502410393,0.8404995598406967,100.00000000000034,0.0028625911882586563,0.0006490838190586923,0.0
8,6,20.00293452012384,0.7000924148606771,100.00000000000031,0.0029011550202018422,0.00019833233399629163,0.0
8,7,42.00305298819953,0.8413196421773854,100.0000000000003,0.0029290859912362677,0.00039352702411439794,0.0
